year_film,year,ceremony,award,nominee,film,winner
1978,1979,36,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nancy Walker,Rhoda,False
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Norman Fell,Three's Company,True
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeff Conway,Taxi,False
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Danny DeVito,Taxi,False
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Pat Harrington,One Day at a Time,False
1978,1979,36,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Andy Kaufman,Taxi,False
1978,1979,36,New Star Of The Year - Actress,Irene Miracle,Midnight Express,True
1978,1979,36,New Star Of The Year - Actress,Anne Ditchburn,Slow Dancing in the Big City,False
1978,1979,36,New Star Of The Year - Actress,Annie Potts,Corvette Summer,False
1978,1979,36,New Star Of The Year - Actress,Anita Skinner,Girl Friends,False
1978,1979,36,New Star Of The Year - Actress,Mary Steenburgen,Goin' South,False
1978,1979,36,New Star Of The Year - Actor,Brad Davis,Midnight Express,True
1978,1979,36,New Star Of The Year - Actor,Chevy Chase,Foul Play,False
1978,1979,36,New Star Of The Year - Actor,Harry Hamlin,Movie Movie,False
1978,1979,36,New Star Of The Year - Actor,Doug McKeon,Uncle Joe Shannon,False
1978,1979,36,New Star Of The Year - Actor,Eric Roberts,King of the Gypsies,False
1978,1979,36,New Star Of The Year - Actor,Andrew Stevens,"Boys In Company C, The",False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Norma Rae,True
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Lisa Eichhorn,Yanks,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,"China Syndrome, The",False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Marsha Mason,Promises In The Dark,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Jill Clayburgh,Luna,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Kramer vs. Kramer,True
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,"China Syndrome, The",False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,And Justice For All,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,"Champ, The",False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,James Woods,"Onion Field, The",False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bette Midler,"Rose, The",True
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marsha Mason,Chapter Two,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Andrews,10,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jill Clayburgh,Starting Over,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Being There,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Sellers,Being There,True
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Hamilton,Love at First Bite,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dudley Moore,10,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Burt Reynolds,Starting Over,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Roy Scheider,All That Jazz,False
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,Kramer vs. Kramer,True
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jane Alexander,Kramer vs. Kramer,False
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathleen Beller,Promises In The Dark,False
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Candice Bergen,Starting Over,False
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Valerie Harper,Chapter Two,False
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Melvyn Douglas,Being There,True
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall,Apocalypse Now,True
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Frederic Forrest,"Rose, The",False
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Justin Henry,Kramer vs. Kramer,False
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Laurence Olivier,"Little Romance, A",False
1979,1980,37,Best Performance by an Actress In A Television Series - Drama,Natalie Wood,From Here to Eternity (TV Mini-Series),True
1979,1980,37,Best Performance by an Actress In A Television Series - Drama,Barbara Bel Geddes,Dallas,False
1979,1980,37,Best Performance by an Actress In A Television Series - Drama,Kate Mulgrew,Kate Columbo,False
1979,1980,37,Best Performance by an Actress In A Television Series - Drama,Stefanie Powers,Hart To Hart,False
1979,1980,37,Best Performance by an Actress In A Television Series - Drama,Sada Thompson,Family,False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Ed Asner,Lou Grant,True
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Richard Chamberlain,Centennial,False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Erik Estrada,CHiPs,False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,James Garner,"Rockford Files, The",False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,John Houseman,"Paper Chase, The",False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Martin Sheen,Blind Ambition,False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Robert Urich,Vega$,False
1979,1980,37,Best Performance by an Actor In A Television Series - Drama,Robert Wagner,Hart To Hart,False
1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Linda Lavin,Alice,True
1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Loretta Swit,M*A*S*H (TV Show),False
1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Penny Marshall,Laverne & Shirley,False
1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Donna Pescow,Angie,False
1979,1980,37,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Stapleton,All In The Family,False
1979,1980,37,Best Performance by an Actor in a Television Series - Musical or Comedy,Alan Alda,M*A*S*H (TV Show),True
1979,1980,37,Best Performance by an Actor in a Television Series - Musical or Comedy,Judd Hirsch,Taxi,False
1979,1980,37,Best Performance by an Actor in a Television Series - Musical or Comedy,Wilfred Hyde-White,"Associates, The",False
1979,1980,37,Best Performance by an Actor in a Television Series - Musical or Comedy,John Ritter,Three's Company,False
1979,1980,37,Best Performance by an Actor in a Television Series - Musical or Comedy,Robin Williams,Mork & Mindy,False
1979,1980,37,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Polly Holliday,Alice,True
1979,1980,37,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Loni Anderson,WKRP In Cincinnati,False
1979,1980,37,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Marilu Henner,Taxi,False
1979,1980,37,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Beth Howland,Alice,False
1979,1980,37,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Linda Kelsey,Lou Grant,False
1979,1980,37,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vic Tayback,Alice,True
1979,1980,37,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Danny DeVito,Taxi,True
1979,1980,37,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeff Conway,Taxi,False
1979,1980,37,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tony Danza,Taxi,False
1979,1980,37,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Doyle,Charlie's Angels,False
1979,1980,37,New Star Of The Year - Actress,Bette Midler,"Rose, The",True
1979,1980,37,New Star Of The Year - Actress,Susan Anton,Goldengirl,False
1979,1980,37,New Star Of The Year - Actress,Bo Derek,10,False
1979,1980,37,New Star Of The Year - Actress,Lisa Eichhorn,Yanks,False
1979,1980,37,New Star Of The Year - Actress,Lynn-Holly Johnson,Ice Castles,False
1979,1980,37,New Star Of The Year - Actor,Ricky/Rick Schroder,"Champ, The",True
1979,1980,37,New Star Of The Year - Actor,Dennis Christopher,Breaking Away,False
1979,1980,37,New Star Of The Year - Actor,Justin Henry,Kramer vs. Kramer,False
1979,1980,37,New Star Of The Year - Actor,Dean-Paul Martin,Players,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Mary Tyler Moore,Ordinary People,True
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Ellen Burstyn,Resurrection,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Nastassja Kinski,Tess,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Deborah Raffin,Touched by Love,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Gena Rowlands,Gloria,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Raging Bull,True
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,John Hurt,"Elephant Man, The",False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Tribute,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Peter O'Toole,"Stunt Man, The",False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Donald Sutherland,Ordinary People,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sissy Spacek,Coal Miner's Daughter,True
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Irene Cara,Fame,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Private Benjamin,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bette Midler,Divine Madness,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Dolly Parton,Nine to Five (1980),False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ray Sharkey,"Idolmaker, The",True
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,Hopscotch,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Neil Diamond,"Jazz Singer, The",False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tommy Lee Jones,Coal Miner's Daughter,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Le Mat,Melvin and Howard,False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary Steenburgen,Melvin and Howard,True
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lucie Arnaz,"Jazz Singer, The",False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Beverly D'Angelo,Coal Miner's Daughter,False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cathy Moriarty,Raging Bull,False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Debra Winger,Urban Cowboy,False
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Timothy Hutton,Ordinary People,True
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Judd Hirsch,Ordinary People,False
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,Raging Bull,False
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,Melvin and Howard,False
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Scott Wilson,"Ninth Configuration, The",False
1980,1981,38,Best Performance by an Actress In A Television Series - Drama,Yoko Shimada,Shogun,True
1980,1981,38,Best Performance by an Actress In A Television Series - Drama,Linda Gray,Dallas,False
